,LEAVE
0,0
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,0
297,0
298,1
299,1
300,1
301,1
302,0
303,1
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,0
342,1
343,1
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,1
361,1
362,1
363,1
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,0
384,1
385,0
386,0
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,1
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,1
471,0
472,1
473,1
474,0
475,0
476,0
477,1
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,1
509,1
510,0
511,1
512,0
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,1
526,1
527,0
528,1
529,0
530,0
531,1
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,1
543,1
544,1
545,1
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,0
564,0
565,0
566,1
567,1
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,0
599,1
600,0
601,1
602,0
603,0
604,1
605,0
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,1
627,0
628,0
629,0
630,1
631,0
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,0
648,0
649,0
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,1
659,0
660,1
661,0
662,1
663,1
664,1
665,0
666,1
667,1
668,0
669,1
670,0
671,0
672,0
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,1
688,0
689,1
690,1
691,1
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,0
725,1
726,0
727,1
728,0
729,0
730,1
731,0
732,1
733,0
734,0
735,1
736,1
737,0
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,0
755,1
756,0
757,1
758,0
759,0
760,1
761,1
762,1
763,0
764,0
765,1
766,0
767,0
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,1
776,1
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,0
785,1
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,0
797,1
798,1
799,0
800,0
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,1
809,0
810,1
811,1
812,0
813,1
814,0
815,0
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,1
829,0
830,0
831,1
832,1
833,1
834,1
835,1
836,0
837,1
838,0
839,0
840,0
841,0
842,1
843,1
844,0
845,0
846,1
847,1
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,0
857,1
858,1
859,1
860,1
861,1
862,0
863,0
864,1
865,1
866,0
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,0
876,1
877,0
878,1
879,0
880,1
881,0
882,0
883,0
884,0
885,0
886,1
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,0
917,1
918,0
919,0
920,1
921,1
922,0
923,1
924,0
925,1
926,0
927,0
928,0
929,1
930,1
931,0
932,0
933,1
934,1
935,1
936,1
937,0
938,0
939,1
940,1
941,0
942,1
943,1
944,0
945,0
946,1
947,0
948,1
949,0
950,1
951,0
952,0
953,1
954,0
955,1
956,0
957,0
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,1
968,0
969,1
970,1
971,0
972,0
973,1
974,0
975,0
976,1
977,0
978,1
979,0
980,0
981,0
982,0
983,0
984,1
985,0
986,0
987,1
988,1
989,0
990,1
991,0
992,0
993,0
994,1
995,1
996,1
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,1
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,1
1045,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
